Id,Age,Genre,Education,Autre,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
161,45-54,Male,Matrise,Autre,Blanc,46,45,49,42,44,18.83%,13.21%,5,1,1,1,6,6,6,1,0,2,0,0,0,1,0,1,3,0,0
162,35-44,Male,Université,UK,Noir,29,42,40,54,39,16.29%,7.00%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0
163,25-34,Female,Université,Nouvelle Zelande,Blanc,38,40,45,53,48,14.64%,11.83%,3,0,0,0,5,2,6,0,0,2,0,0,2,0,0,0,1,0,0
164,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,53,40,44,49,43,18.83%,8.97%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
165,25-34,Female,Doctorat,UK,Blanc,37,42,35,52,49,14.64%,11.19%,3,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,1,0,0
166,45-54,Male,Matrise,UK,Blanc,33,38,44,40,52,14.64%,8.97%,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0
167,18-24,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,50,31,51,27,27,10.34%,11.62%,5,0,0,0,5,4,5,3,3,0,0,0,2,0,0,3,6,0,3
168,25-34,Female,Certificat ou diplome professionel,UK,Noir,36,40,39,40,48,11.46%,11.19%,2,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
169,25-34,Female,Université,UK,Blanc,38,48,37,41,33,11.46%,13.21%,5,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,1,0,0
170,18-24,Female,À quitté l'école à 18 ans,UK,Blanc,32,40,36,47,41,16.29%,13.21%,5,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0
171,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,49,38,44,44,41,10.34%,13.21%,2,1,1,3,6,2,5,2,0,0,0,0,0,0,3,0,1,0,0
172,35-44,Male,Matrise,UK,Blanc,32,46,58,48,36,7.85%,5.46%,6,0,1,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
173,45-54,Female,Certificat ou diplome professionel,UK,Blanc,41,36,43,40,47,13.63%,7.00%,5,0,0,0,6,2,6,0,0,0,0,0,0,1,0,1,5,0,0
174,35-44,Female,Université,UK,Blanc,46,44,54,44,44,11.46%,13.21%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
175,35-44,Female,Certificat ou diplome professionel,UK,Blanc,46,36,30,48,30,10.34%,11.62%,6,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
176,55-64,Female,Université,UK,Blanc,42,40,49,51,43,13.63%,11.62%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0
177,35-44,Female,Université,UK,Autre ,34,36,40,35,38,14.64%,7.00%,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
178,35-44,Female,Université,UK,Blanc,50,40,37,37,49,16.29%,11.19%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
179,45-54,Female,Université,UK,Blanc,44,33,43,48,41,13.63%,11.83%,5,1,0,0,6,1,6,0,0,0,0,0,0,0,0,1,6,0,0
180,35-44,Female,Certificat ou diplome professionel,UK,Blanc,40,39,39,50,37,14.64%,7.00%,5,1,0,0,6,2,4,1,0,1,0,0,0,1,0,1,6,0,0
181,45-54,Female,Certificat ou diplome professionel,UK,Blanc,39,44,35,45,48,13.63%,11.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
182,25-34,Male,Doctorat,UK,Blanc,24,37,44,47,48,16.29%,7.00%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
183,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,39,45,44,51,47,14.64%,7.00%,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
184,18-24,Female,Université,UK,Blanc,54,37,48,38,48,16.29%,13.21%,6,3,0,0,6,0,5,6,0,3,0,3,3,0,0,0,6,0,6
185,55-64,Male,À quitté l'école à 18 ans,UK,Blanc,36,34,39,47,44,14.64%,7.00%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
186,35-44,Female,Université,Canada,Blanc,39,44,46,48,41,18.83%,11.19%,5,0,0,0,6,3,5,1,0,0,0,0,0,1,0,1,0,0,0
187,35-44,Female,Matrise,UK,Blanc,29,49,47,45,53,14.64%,4.62%,6,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,1,0,0
188,55-64,Female,À quitté l'école à 16 ans,UK,Blanc,28,34,32,50,46,14.64%,4.62%,4,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,1,0,0
189,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,40,30,31,47,40,14.64%,3.77%,4,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0
190,18-24,Female,Matrise,UK,Blanc,32,40,43,44,47,16.29%,8.97%,5,0,0,0,5,2,4,0,0,0,0,0,0,0,0,0,3,0,0
191,55-64,Female,Certificat ou diplome professionel,UK,Blanc,23,40,40,47,40,16.29%,4.62%,5,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
192,18-24,Male,Université,UK,Mixed-Blanc/Asiatique ,32,48,38,47,38,11.46%,11.62%,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,2,0,0
193,25-34,Female,Certificat ou diplome professionel,Canada,Blanc,28,38,45,45,38,10.34%,11.62%,5,1,0,1,6,5,4,1,1,1,0,0,0,1,0,1,6,0,0
194,45-54,Female,Université,UK,Blanc,39,32,43,44,43,14.64%,11.62%,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0
195,25-34,Female,Université,Canada,Mixed-Blanc/Asiatique ,27,48,46,43,45,16.29%,7.00%,3,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0
196,55-64,Female,Université,UK,Blanc,42,42,51,41,48,11.46%,11.62%,5,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0,4,0,0
197,18-24,Male,Université,UK,Noir,30,42,42,51,35,13.63%,7.00%,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
198,55-64,Female,Université,UK,Blanc,32,43,41,37,38,16.29%,8.97%,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
199,25-34,Female,Certificat ou diplome professionel,UK,Blanc,35,43,50,48,42,5.52%,11.14%,6,5,5,2,5,6,6,5,0,3,2,3,3,3,0,3,6,0,1
200,45-54,Female,Certificat ou diplome professionel,UK,Blanc,31,54,51,54,50,11.46%,11.62%,4,4,1,1,6,4,5,3,0,6,0,2,2,4,0,3,6,0,0
201,18-24,Female,Université,UK,Blanc,30,41,40,50,51,11.46%,11.14%,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
202,35-44,Male,Matrise,UK,Autre ,34,33,42,34,50,16.29%,8.97%,5,3,3,2,6,2,6,4,2,4,0,2,2,2,0,2,4,0,0
203,35-44,Female,Université,UK,Blanc,29,48,43,49,49,13.63%,8.97%,6,0,0,3,6,1,2,0,0,0,0,0,0,0,0,0,1,0,0
204,65+,Male,À quitté l'école avant 16 ans,UK,Blanc,22,32,29,37,37,14.64%,3.77%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
205,25-34,Female,Université,UK,Blanc,34,46,54,43,44,18.83%,13.21%,5,2,2,2,6,2,5,2,0,2,0,2,0,2,0,2,4,0,2
206,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,34,47,48,37,34,5.52%,13.21%,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
207,18-24,Female,Université,UK,Blanc,35,48,50,44,45,10.34%,11.62%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
208,35-44,Female,Certificat ou diplome professionel,UK,Blanc,29,43,42,47,41,18.83%,13.21%,5,1,4,1,6,6,3,2,0,1,0,1,3,1,0,1,6,0,1
209,35-44,Female,Université,UK,Blanc,37,40,45,41,42,11.46%,11.14%,4,1,1,0,6,6,5,4,0,3,0,3,3,2,0,3,6,0,0
210,25-34,Male,Matrise,UK,Asiatique ,23,43,53,40,49,14.64%,8.97%,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
211,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,43,41,36,43,32,5.52%,11.19%,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
212,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,29,36,38,50,48,14.64%,3.77%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
213,25-34,Female,Certificat ou diplome professionel,UK,Blanc,37,44,40,54,46,18.83%,7.00%,6,1,1,0,6,1,5,0,0,1,0,0,0,1,0,1,6,0,0
214,45-54,Female,Certificat ou diplome professionel,Republique d'Ireland,Blanc,41,39,37,49,43,14.64%,4.62%,5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
215,25-34,Female,Certificat ou diplome professionel,UK,Blanc,34,47,49,51,50,13.63%,11.14%,5,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,2,0,0
216,25-34,Female,Université,Canada,Blanc,51,38,41,50,39,13.63%,11.62%,5,2,0,0,6,4,4,3,0,3,0,0,0,0,0,2,3,0,0
217,25-34,Female,Certificat ou diplome professionel,UK,Blanc,38,47,48,52,42,10.34%,11.19%,5,1,1,0,6,1,5,2,0,1,0,3,0,0,0,0,3,0,0
218,35-44,Male,Certificat ou diplome professionel,UK,Blanc,48,45,49,52,29,5.52%,11.19%,2,1,1,1,6,1,6,1,1,1,1,1,0,1,1,0,6,0,1
219,25-34,Female,Matrise,Autre,Blanc,39,47,40,36,47,18.83%,11.19%,4,0,0,0,6,3,6,0,0,0,0,0,0,0,0,2,3,0,0
220,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,32,36,47,50,44,14.64%,8.97%,6,1,1,1,4,1,5,2,0,1,0,0,0,0,0,0,6,0,0
221,18-24,Female,Université,UK,Blanc,44,38,48,43,43,13.63%,11.62%,5,0,2,0,6,3,5,0,0,2,0,0,3,0,0,0,3,0,0
222,25-34,Female,Université,UK,Blanc,34,43,43,38,48,11.46%,11.19%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0
223,35-44,Female,Université,UK,Blanc,33,44,51,50,44,7.85%,11.14%,6,2,0,0,5,2,5,2,0,2,0,0,0,0,0,1,2,0,0
224,55-64,Male,Université,UK,Blanc,25,47,44,50,48,18.83%,11.62%,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0
225,45-54,Female,Université,UK,Blanc,31,49,48,46,47,18.83%,11.83%,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
226,35-44,Female,Université,UK,Blanc,24,44,52,40,44,14.64%,4.62%,6,1,0,0,6,0,5,3,0,2,0,0,0,0,0,0,6,0,0
227,45-54,Female,Université,UK,Blanc,31,43,41,52,51,18.83%,8.97%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
228,18-24,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,38,46,39,39,46,7.85%,13.21%,5,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,4,0,0
229,45-54,Male,Matrise,UK,Blanc,29,42,46,38,41,13.63%,11.62%,6,1,1,1,6,2,6,1,0,1,0,1,0,0,0,1,2,0,0
230,45-54,Female,Université,UK,Blanc,26,49,47,49,52,14.64%,3.77%,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
231,35-44,Female,Certificat ou diplome professionel,UK,Blanc,46,23,33,47,45,14.64%,4.62%,5,0,0,2,5,1,6,0,0,0,0,0,0,0,0,0,3,0,0
232,65+,Female,Matrise,UK,Blanc,37,32,43,40,44,18.83%,4.62%,6,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
233,25-34,Female,Université,UK,Blanc,36,48,46,44,47,11.46%,11.19%,5,1,0,0,6,0,6,0,0,1,0,0,0,1,0,0,0,0,0
234,45-54,Male,Université,UK,Blanc,29,45,36,49,44,11.46%,13.21%,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
235,25-34,Female,Université,UK,Blanc,40,46,46,37,52,13.63%,13.21%,4,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0
236,25-34,Female,Certificat ou diplome professionel,UK,Blanc,36,46,37,56,54,14.64%,3.77%,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
237,25-34,Female,Matrise,UK,Blanc,50,42,45,46,45,13.63%,11.83%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
238,25-34,Female,À quitté l'école à 16 ans,UK,Blanc,45,39,30,45,50,14.64%,3.77%,5,1,1,0,6,3,6,0,0,0,0,0,0,0,0,0,6,0,0
239,18-24,Female,À quitté l'école à 18 ans,UK,Blanc,41,39,41,39,44,18.83%,11.83%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
240,45-54,Female,Certificat ou diplome professionel,UK,Blanc,20,44,51,53,44,14.64%,8.97%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
241,35-44,Female,Matrise,UK,Blanc,42,31,46,53,56,14.64%,8.97%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,1,0,0
242,25-34,Female,À quitté l'école à 18 ans,Autre,Blanc,55,31,40,48,34,13.63%,7.00%,5,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,2,0,1
243,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,50,29,24,48,35,14.64%,4.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,3
244,25-34,Female,Université,UK,Blanc,30,47,51,49,48,14.64%,11.83%,5,3,1,2,6,3,4,3,2,2,0,0,3,0,0,0,5,0,1
245,35-44,Male,Université,UK,Blanc,54,29,45,50,20,16.29%,11.19%,5,0,0,3,6,1,6,0,0,1,0,0,0,0,0,0,0,0,0
246,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,33,33,34,33,31,1.06%,4.62%,5,1,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
247,25-34,Female,Certificat ou diplome professionel,UK,Blanc,49,35,37,46,37,18.83%,8.97%,5,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0
248,45-54,Male,Matrise,UK,Blanc,27,38,38,47,52,18.83%,11.19%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
249,45-54,Female,Doctorat,UK,Blanc,16,41,44,55,53,16.29%,7.00%,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
250,45-54,Female,Certificat ou diplome professionel,UK,Blanc,47,42,45,49,49,16.29%,11.83%,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0
251,45-54,Male,Université,UK,Blanc,31,41,44,40,51,13.63%,8.97%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
252,35-44,Female,Université,UK,Blanc,42,33,41,42,47,14.64%,4.62%,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
253,18-24,Female,Matrise,UK,Blanc,23,46,42,56,54,16.29%,11.83%,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,2,0,0
254,45-54,Female,Doctorat,UK,Blanc,28,41,48,43,48,14.64%,3.77%,6,0,0,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,0
255,25-34,Male,Certificat ou diplome professionel,UK,Blanc,49,35,41,37,40,14.64%,8.97%,4,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,3,0,0
256,35-44,Female,Matrise,UK,Blanc,25,51,53,51,47,13.63%,13.21%,5,1,0,0,5,2,6,0,0,0,0,0,0,0,0,0,2,0,0
257,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,31,44,44,48,48,16.29%,11.83%,4,2,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
258,35-44,Male,Doctorat,UK,Blanc,36,40,52,25,40,16.29%,11.62%,4,1,1,1,6,1,6,2,0,2,0,0,2,1,0,1,4,0,1
259,65+,Male,Doctorat,UK,Blanc,41,39,43,33,53,16.29%,4.62%,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,65+,Male,Certificat ou diplome professionel,UK,Blanc,26,38,48,46,47,18.83%,11.19%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
261,45-54,Female,Certificat ou diplome professionel,UK,Blanc,31,46,58,37,42,5.52%,11.14%,5,0,0,0,6,2,5,0,0,0,0,0,0,1,0,0,0,0,0
262,55-64,Male,Université,UK,Blanc,29,37,51,43,41,5.52%,11.62%,2,0,1,2,0,1,6,0,0,0,0,0,0,1,0,1,6,0,0
263,45-54,Male,Matrise,UK,Asiatique ,27,45,44,49,44,14.64%,4.62%,3,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
264,55-64,Female,À quitté l'école avant 16 ans,UK,Blanc,26,40,46,53,49,16.29%,4.62%,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
265,18-24,Female,Université,UK,Blanc,31,41,46,47,46,14.64%,7.00%,5,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0
266,35-44,Female,Université,UK,Noir,33,40,43,43,42,16.29%,3.77%,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
267,55-64,Male,Université,UK,Blanc,25,39,45,45,47,18.83%,11.62%,6,1,0,0,6,3,6,0,0,0,0,0,0,1,0,0,1,0,0
268,35-44,Male,Certificat ou diplome professionel,UK,Noir,27,49,37,40,42,18.83%,11.62%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
269,45-54,Female,Matrise,UK,Blanc,26,51,50,46,54,18.83%,11.19%,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
270,35-44,Female,Matrise,UK,Noir,27,41,40,38,43,14.64%,3.77%,4,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
271,45-54,Female,Matrise,UK,Blanc,17,53,56,48,47,10.34%,13.21%,6,0,0,0,6,1,6,0,0,0,0,0,0,1,0,0,0,0,0
272,45-54,Female,Matrise,UK,Blanc,43,35,49,45,31,16.29%,11.19%,6,1,1,0,6,1,5,0,0,0,0,0,1,0,2,1,2,0,0
273,55-64,Male,Doctorat,UK,Blanc,26,40,46,45,42,11.46%,8.97%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
274,25-34,Female,Université,UK,Blanc,38,41,38,45,44,16.29%,11.83%,6,3,3,4,6,3,6,3,0,2,0,2,3,2,0,1,4,0,0
275,35-44,Male,Matrise,UK,Blanc,38,46,47,37,46,18.83%,11.19%,6,1,6,5,6,3,4,1,1,1,0,1,0,1,0,0,6,0,0
276,35-44,Female,Matrise,UK,Blanc,40,37,47,46,52,14.64%,11.83%,4,0,0,0,6,1,4,1,0,1,0,1,0,0,0,0,2,0,0
277,55-64,Male,Doctorat,UK,Blanc,27,43,42,41,38,18.83%,11.19%,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0
278,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,26,49,53,48,41,11.46%,11.62%,5,2,2,2,5,4,5,3,0,3,0,2,0,2,0,3,3,0,0
279,45-54,Female,Université,UK,Blanc,33,37,44,48,42,16.29%,11.19%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
280,45-54,Male,Matrise,UK,Blanc,24,45,48,46,45,13.63%,11.19%,5,1,0,2,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
281,55-64,Male,Matrise,UK,Blanc,35,41,51,43,35,16.29%,8.97%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
282,45-54,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,36,38,30,42,41,16.29%,8.97%,5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
283,45-54,Female,Matrise,UK,Blanc,35,40,47,49,48,13.63%,13.21%,5,0,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0
284,45-54,Male,Université,UK,Blanc,27,50,47,41,47,13.63%,13.21%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
285,35-44,Male,Certificat ou diplome professionel,Autre,Blanc,25,34,51,40,44,7.85%,11.83%,3,2,2,3,6,2,5,2,0,2,0,0,0,0,0,2,6,0,0
286,35-44,Male,Université,UK,Blanc,27,48,41,41,44,14.64%,11.83%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,5,0,0
287,45-54,Female,Université,UK,Blanc,38,30,45,34,41,14.64%,3.77%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
288,45-54,Male,Matrise,UK,Blanc,39,42,43,46,35,18.83%,11.83%,3,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
289,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,42,42,41,41,42,18.83%,4.62%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
290,25-34,Female,Matrise,UK,Blanc,19,44,41,53,49,14.64%,7.00%,4,0,1,0,6,2,5,0,0,0,0,0,0,0,0,0,6,0,0
291,35-44,Female,Certificat ou diplome professionel,UK,Noir,27,46,40,52,48,14.64%,4.62%,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
292,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,42,32,49,38,39,14.64%,11.19%,5,1,0,0,4,5,5,0,0,0,0,0,0,0,0,0,4,0,0
293,45-54,Female,Certificat ou diplome professionel,UK,Blanc,35,39,42,39,45,16.29%,11.19%,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
295,25-34,Female,Certificat ou diplome professionel,UK,Blanc,47,40,45,38,39,13.63%,11.83%,3,1,1,0,3,3,6,0,0,0,0,0,0,0,0,0,6,0,1
296,18-24,Female,À quitté l'école à 17 ans,UK,Blanc,32,43,45,39,41,16.29%,8.97%,5,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
297,35-44,Male,Certificat ou diplome professionel,UK,Blanc,49,37,47,43,42,16.29%,11.19%,5,0,1,4,5,2,6,0,0,0,2,0,0,0,0,0,2,0,0
298,65+,Female,À quitté l'école à 16 ans,UK,Blanc,44,34,47,42,49,18.83%,11.19%,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
300,35-44,Female,Université,UK,Blanc,37,38,36,53,45,18.83%,4.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
301,35-44,Female,Certificat ou diplome professionel,USA,Blanc,44,33,45,46,46,16.29%,8.97%,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0
302,25-34,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,33,37,35,44,46,14.64%,4.62%,3,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,6,0,0
303,35-44,Female,Doctorat,UK,Blanc,41,37,41,47,48,16.29%,8.97%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
304,55-64,Female,Certificat ou diplome professionel,UK,Blanc,34,44,46,38,39,18.83%,11.62%,6,0,0,1,6,2,5,0,0,0,0,0,0,0,0,2,1,0,0
305,45-54,Female,Université,UK,Blanc,32,40,37,42,48,18.83%,7.00%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
306,45-54,Female,Université,UK,Blanc,26,22,37,53,43,16.29%,4.62%,4,1,2,0,6,0,4,1,0,1,0,0,0,1,0,0,0,0,0
307,35-44,Male,Matrise,UK,Blanc,38,31,40,36,47,14.64%,8.97%,5,0,1,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0
308,45-54,Male,Matrise,UK,Blanc,31,36,41,50,47,16.29%,11.19%,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
309,35-44,Female,À quitté l'école à 18 ans,UK,Blanc,21,45,45,43,52,13.63%,11.62%,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
310,35-44,Male,Matrise,UK,Blanc,28,41,45,47,45,14.64%,3.77%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
311,45-54,Female,Université,UK,Blanc,24,39,40,44,46,14.64%,4.62%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,4,0,1
312,18-24,Female,À quitté l'école à 16 ans,UK,Blanc,47,36,32,41,41,5.52%,11.19%,3,0,0,0,6,1,6,1,0,0,0,0,0,0,0,0,2,0,0
313,45-54,Female,Matrise,UK,Blanc,32,40,43,45,43,14.64%,11.19%,6,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
314,25-34,Female,Matrise,UK,Blanc,36,51,48,47,50,13.63%,11.19%,5,1,1,0,6,0,5,1,0,1,0,0,0,1,0,1,5,0,0
315,18-24,Female,À quitté l'école à 18 ans,Republique d'Ireland,Blanc,30,41,41,44,41,16.29%,7.00%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,5,0,0
316,45-54,Female,Doctorat,UK,Blanc,28,45,50,43,45,16.29%,11.19%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0
317,55-64,Female,Université,UK,Blanc,31,45,53,40,36,5.52%,13.21%,5,1,0,0,6,3,6,1,0,1,0,0,0,1,0,0,6,0,0
318,35-44,Male,Université,UK,Noir,28,52,39,43,49,16.29%,11.19%,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,3,0,0
319,25-34,Female,Certificat ou diplome professionel,UK,Blanc,36,40,41,45,48,14.64%,7.00%,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
320,45-54,Female,À quitté l'école à 16 ans,UK,Autre ,39,38,37,42,46,10.34%,13.21%,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
321,45-54,Female,Université,UK,Blanc,43,38,42,36,41,14.64%,7.00%,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
322,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,41,38,39,54,52,14.64%,3.77%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
323,18-24,Female,Université,UK,Blanc,28,43,49,49,43,18.83%,13.21%,5,0,2,0,6,2,6,0,0,0,0,0,2,0,0,0,2,0,0
324,45-54,Male,À quitté l'école à 17 ans,UK,Blanc,45,32,34,45,36,16.29%,11.62%,6,1,1,0,6,2,5,1,0,1,1,0,0,1,0,1,1,0,0
325,25-34,Female,Doctorat,UK,Blanc,38,40,55,37,48,13.63%,11.19%,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
326,35-44,Female,Certificat ou diplome professionel,UK,Blanc,28,48,45,49,55,13.63%,11.19%,5,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
327,35-44,Male,À quitté l'école à 18 ans,UK,Blanc,30,28,32,49,45,11.46%,11.62%,6,3,2,0,4,4,5,0,0,3,0,0,0,0,0,0,6,0,0
